,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-06-01,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-04,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-05,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-06,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-07,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-08,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-09,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-10,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-11,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-12,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-13,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-14,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-15,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,1,,,,,29,,,,,,,,,,,,,,,,,,
2023-06-17,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-06-18,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-06-19,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-06-20,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-06-21,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-06-22,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
